origin,destination,loaded_on,discharged_on,ocean_days
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Vung Tau,Los Angeles,2021-10-31,2021-12-21,51
Chattogram,Long Beach,2021-10-31,2022-02-02,94
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Xiamen,Houston,2021-11-01,2021-11-30,29
Vung Tau,Los Angeles,2021-11-01,2021-12-21,50
Yantian,Los Angeles,2021-11-01,2021-12-11,40
Yantian,Los Angeles,2021-11-01,2021-12-12,41
Vung Tau,Los Angeles,2021-11-02,2021-12-21,49
Shanghai,Houston,2021-11-04,2021-12-21,47
Tianjin Xingang,Long Beach,2021-11-04,2022-01-22,79
Ningbo,Fort Worth,2021-11-05,2021-12-21,46
Shekou,Houston,2021-11-05,2021-12-06,31
Yantian,Long Beach,2021-11-06,2021-12-21,45
Yantian,Los Angeles,2021-11-06,2021-12-20,44
Yantian,Long Beach,2021-11-07,2021-12-26,49
Yantian,Fort Worth,2021-11-08,2021-12-25,47
Yantian,Fort Worth,2021-11-08,2021-12-25,47
Jawaharlal Nehru,New York City,2021-11-09,2022-01-04,56
Ningbo,Houston,2021-11-10,2021-12-05,25
Shanghai,Los Angeles,2021-11-11,2022-01-14,64
Ningbo,Long Beach,2021-11-11,2021-12-18,37
Vung Tau,Long Beach,2021-11-12,2022-01-07,56
Vung Tau,Long Beach,2021-11-12,2022-01-06,55
Yantian,Long Beach,2021-11-12,2021-11-26,14
Yantian,Long Beach,2021-11-12,2021-11-26,14
Vung Tau,Long Beach,2021-11-12,2022-01-07,56
Ningbo,Houston,2021-11-12,2021-12-12,30
Yantian,Long Beach,2021-11-12,2021-11-26,14
Vung Tau,Long Beach,2021-11-13,2022-01-06,54
Yantian,Los Angeles,2021-11-13,2021-12-12,29
Vung Tau,Los Angeles,2021-11-13,2022-01-09,57
Yantian,Long Beach,2021-11-13,2022-02-09,88
Cai Mep,Long Beach,2021-11-14,2021-12-11,27
Yantian,Long Beach,2021-11-14,2022-02-09,87
Cai Mep,Long Beach,2021-11-14,2021-12-12,28
Mundra,Houston,2021-11-14,2021-12-23,39
Vung Tau,Long Beach,2021-11-14,2022-01-06,53
Cai Mep,Long Beach,2021-11-14,2021-12-11,27
Tianjin Xingang,Oakland,2021-11-15,2022-02-18,95
Vung Tau,Long Beach,2021-11-15,2022-01-08,54
Tianjin Xingang,Oakland,2021-11-15,2022-02-18,95
Vung Tau,Long Beach,2021-11-15,2022-01-06,52
Tianjin Xingang,Oakland,2021-11-15,2022-02-18,95
Shanghai,Los Angeles,2021-11-15,2021-12-02,17
Tianjin Xingang,Oakland,2021-11-15,2022-02-18,95
Shanghai,Los Angeles,2021-11-15,2021-12-18,33
Vung Tau,Long Beach,2021-11-15,2022-01-07,53
Vung Tau,Long Beach,2021-11-15,2022-01-06,52
Chattogram,Los Angeles,2021-11-15,2022-02-16,93
Vung Tau,Long Beach,2021-11-15,2022-01-08,54
Shanghai,Oakland,2021-11-15,2021-12-11,26
Shanghai,Los Angeles,2021-11-15,2021-12-20,35
Yantian,Oakland,2021-11-15,2022-01-06,52
Tianjin Xingang,Oakland,2021-11-15,2022-02-18,95
Chattogram,Los Angeles,2021-11-15,2022-02-16,93
Vung Tau,Long Beach,2021-11-15,2022-01-08,54
Shanghai,Long Beach,2021-11-15,2021-12-19,34
Shanghai,Long Beach,2021-11-15,2021-12-17,32
Chattogram,Los Angeles,2021-11-15,2022-02-16,93
Shanghai,Long Beach,2021-11-16,2021-12-03,17
Shanghai,Los Angeles,2021-11-16,2021-12-20,34
Shanghai,Long Beach,2021-11-16,2021-11-30,14
Vung Tau,Long Beach,2021-11-16,2022-01-06,51
Shanghai,Long Beach,2021-11-16,2021-12-03,17
Shanghai,Los Angeles,2021-11-16,2021-12-18,32
Ningbo,Oakland,2021-11-17,2021-12-22,35
Yantian,Long Beach,2021-11-17,2021-12-07,20
Yantian,Long Beach,2021-11-17,2021-12-10,23
Yantian,Long Beach,2021-11-17,2021-12-10,23
Yantian,Long Beach,2021-11-17,2021-12-03,16
Yantian,Long Beach,2021-11-17,2021-12-10,23
Yantian,Long Beach,2021-11-18,2022-02-12,86
Yantian,Long Beach,2021-11-19,2022-02-09,82
Cai Mep,Long Beach,2021-11-19,2022-01-02,44
Yantian,Long Beach,2021-11-19,2022-02-09,82
Cai Mep,Long Beach,2021-11-19,2021-12-31,42
Cai Mep,Long Beach,2021-11-19,2021-12-29,40
Yantian,Long Beach,2021-11-19,2022-02-12,85
Yantian,Long Beach,2021-11-19,2022-02-12,85
Qingdao,Los Angeles,2021-11-20,2021-12-18,28
Shanghai,Long Beach,2021-11-21,2021-12-08,17
Shanghai,Long Beach,2021-11-21,2021-12-05,14
Shanghai,Long Beach,2021-11-21,2021-12-06,15
Nagoya,Tacoma,2021-11-22,2022-02-11,81
Yantian,Oakland,2021-11-23,2022-01-05,43
Yantian,Long Beach,2021-11-23,2021-12-11,18
Yantian,Long Beach,2021-11-23,2021-12-11,18
Shanghai,Long Beach,2021-11-23,2021-12-17,24
Yantian,Long Beach,2021-11-23,2021-12-11,18
Tianjin Xingang,Long Beach,2021-11-23,2022-02-04,73
Yantian,Long Beach,2021-11-23,2021-12-11,18
Shanghai,Long Beach,2021-11-23,2021-12-17,24
Yantian,Long Beach,2021-11-23,2021-12-09,16
Shanghai,Long Beach,2021-11-23,2021-12-15,22
Tianjin Xingang,Long Beach,2021-11-24,2022-02-12,80
Shanghai,Los Angeles,2021-11-25,2022-02-04,71
Vung Tau,Los Angeles,2021-11-25,2022-01-11,47
Tianjin Xingang,Long Beach,2021-11-25,2022-02-05,72
Yantian,Oakland,2021-11-26,2022-01-19,54
Fuzhou,Houston,2021-11-26,2022-01-24,59
Xiamen,Los Angeles,2021-11-26,2022-01-16,51
Shanghai,Los Angeles,2021-11-26,2022-02-03,69
Yantian,Long Beach,2021-11-27,2021-12-29,32
Yantian,Long Beach,2021-11-27,2021-12-27,30
Yantian,Long Beach,2021-11-27,2021-12-30,33
Yantian,Long Beach,2021-11-27,2021-12-27,30
Yantian,Long Beach,2021-11-27,2021-12-27,30
Xiamen,Los Angeles,2021-11-27,2022-01-16,50
Cai Mep,Long Beach,2021-11-28,2022-01-03,36
Cai Mep,Long Beach,2021-11-28,2021-12-31,33
Vung Tau,Long Beach,2021-11-28,2022-01-18,51
Cai Mep,Long Beach,2021-11-28,2022-01-03,36
Ningbo,Houston,2021-11-29,2022-01-11,43
Shanghai,Long Beach,2021-11-29,2021-12-27,28
Ningbo,Houston,2021-11-29,2022-01-11,43
Shanghai,Long Beach,2021-11-29,2021-12-27,28
Yantian,Oakland,2021-11-29,2022-01-06,38
Shanghai,Long Beach,2021-11-29,2021-12-26,27
Yantian,Oakland,2021-11-30,2022-01-06,37
Vung Tau,Long Beach,2021-11-30,2022-02-02,64
Vung Tau,Long Beach,2021-12-01,2022-01-18,48
Vung Tau,Long Beach,2021-12-01,2022-01-18,48
Ningbo,Houston,2021-12-02,2022-01-03,32
Vung Tau,Long Beach,2021-12-02,2022-01-17,46
Vung Tau,Long Beach,2021-12-02,2022-01-18,47
Vung Tau,Long Beach,2021-12-02,2022-01-19,48
Vung Tau,Long Beach,2021-12-02,2022-01-18,47
Ningbo,Houston,2021-12-02,2022-01-08,37
Vung Tau,Long Beach,2021-12-02,2022-01-17,46
Vung Tau,Long Beach,2021-12-02,2022-01-19,48
Ningbo,Houston,2021-12-02,2022-01-12,41
Yantian,Long Beach,2021-12-03,2021-12-30,27
Yantian,Long Beach,2021-12-03,2022-01-02,30
Yantian,Los Angeles,2021-12-03,2022-02-17,76
Yantian,Long Beach,2021-12-03,2021-12-27,24
Yantian,Oakland,2021-12-03,2022-01-19,47
Yantian,Long Beach,2021-12-03,2021-12-29,26
Yantian,Oakland,2021-12-04,2022-01-19,46
Yantian,Oakland,2021-12-04,2022-01-19,46
Vung Tau,Long Beach,2021-12-04,2022-01-18,45
Yantian,Los Angeles,2021-12-04,2022-02-20,78
Yantian,Los Angeles,2021-12-04,2022-02-17,75
Vung Tau,Long Beach,2021-12-05,2022-01-18,44
Qingdao,Los Angeles,2021-12-05,2022-01-03,29
Vung Tau,Long Beach,2021-12-05,2022-01-19,45
Shanghai,Long Beach,2021-12-05,2022-02-13,70
Yantian,Los Angeles,2021-12-05,2022-02-18,75
Yantian,Los Angeles,2021-12-05,2022-02-18,75
Tianjin Xingang,Houston,2021-12-05,2022-02-08,65
Shanghai,Long Beach,2021-12-05,2022-02-13,70
Vung Tau,Long Beach,2021-12-05,2022-01-19,45
Ningbo,Houston,2021-12-06,2022-01-13,38
Shanghai,Los Angeles,2021-12-07,2022-01-05,29
Ningbo,Houston,2021-12-08,2022-01-17,40
Ningbo,Houston,2021-12-08,2022-01-18,41
Ningbo,Houston,2021-12-08,2022-01-17,40
Ningbo,Houston,2021-12-08,2022-01-17,40
Ningbo,Houston,2021-12-08,2022-01-07,30
Cai Mep,Long Beach,2021-12-10,2022-01-04,25
Shanghai,Oakland,2021-12-10,2022-01-08,29
Shanghai,Oakland,2021-12-10,2022-01-07,28
Vung Tau,Los Angeles,2021-12-10,2022-01-31,52
Vung Tau,Los Angeles,2021-12-10,2022-01-31,52
Cai Mep,Long Beach,2021-12-10,2022-01-04,25
Cai Mep,Long Beach,2021-12-10,2022-01-04,25
Cai Mep,Long Beach,2021-12-10,2022-01-04,25
Shanghai,Oakland,2021-12-10,2022-01-08,29
Shanghai,Oakland,2021-12-11,2022-01-11,31
Tianjin Xingang,Long Beach,2021-12-11,2022-02-08,59
Shanghai,Oakland,2021-12-11,2022-01-10,30
Vung Tau,Los Angeles,2021-12-12,2022-01-31,50
Cai Mep,Long Beach,2021-12-12,2022-01-17,36
Vung Tau,Los Angeles,2021-12-12,2022-01-31,50
Cai Mep,Long Beach,2021-12-12,2022-01-13,32
Shanghai,Los Angeles,2021-12-12,2022-01-07,26
Shanghai,Los Angeles,2021-12-12,2022-01-26,45
Yantian,Oakland,2021-12-12,2022-02-19,69
Vung Tau,Los Angeles,2021-12-12,2022-01-31,50
Vung Tau,Los Angeles,2021-12-12,2022-01-31,50
Shanghai,Los Angeles,2021-12-12,2022-01-24,43
Yantian,Oakland,2021-12-12,2022-02-19,69
Vung Tau,Los Angeles,2021-12-12,2022-01-31,50
Tianjin Xingang,Long Beach,2021-12-12,2022-02-08,58
Cai Mep,Long Beach,2021-12-12,2022-01-15,34
Yantian,Oakland,2021-12-12,2022-02-19,69
Vung Tau,Los Angeles,2021-12-13,2022-01-31,49
Yantian,Houston,2021-12-13,2022-01-23,41
Vung Tau,Los Angeles,2021-12-13,2022-01-31,49
Vung Tau,Los Angeles,2021-12-13,2022-01-31,49
Shekou,Houston,2021-12-13,2022-01-25,43
Vung Tau,Los Angeles,2021-12-13,2022-01-31,49
Shanghai,Los Angeles,2021-12-14,2022-02-17,65
Yantian,Long Beach,2021-12-16,2022-01-07,22
Yantian,Long Beach,2021-12-16,2022-01-09,24
Yantian,Long Beach,2021-12-16,2022-01-18,33
Ningbo,Houston,2021-12-16,2022-01-23,38
Ningbo,Houston,2021-12-16,2022-01-23,38
Yantian,Long Beach,2021-12-16,2022-01-17,32
Ningbo,Houston,2021-12-16,2022-01-17,32
Yantian,Long Beach,2021-12-16,2022-01-08,23
Ningbo,Houston,2021-12-16,2022-01-23,38
Ningbo,Houston,2021-12-16,2022-01-23,38
Yantian,Long Beach,2021-12-16,2022-01-09,24
Yantian,Long Beach,2021-12-16,2022-01-15,30
Yantian,Long Beach,2021-12-16,2022-01-16,31
Yantian,Houston,2021-12-16,2022-02-07,53
Ningbo,Houston,2021-12-16,2022-01-23,38
Yantian,Long Beach,2021-12-17,2022-01-04,18
Yantian,Long Beach,2021-12-17,2022-01-09,23
Cai Mep,Long Beach,2021-12-17,2022-01-17,31
Cai Mep,Long Beach,2021-12-17,2022-01-16,30
Yantian,Long Beach,2021-12-17,2022-01-04,18
Yantian,Long Beach,2021-12-17,2022-01-04,18
Cai Mep,Long Beach,2021-12-17,2022-01-17,31
Chattogram,Los Angeles,2021-12-18,2022-03-16,88
Chattogram,Los Angeles,2021-12-18,2022-03-16,88
Chattogram,Los Angeles,2021-12-18,2022-03-16,88
Chattogram,Los Angeles,2021-12-18,2022-03-16,88
Yantian,Houston,2021-12-18,2022-02-08,52
Chattogram,Los Angeles,2021-12-18,2022-03-16,88
Shanghai,Houston,2021-12-19,2022-02-11,54
Mundra,Houston,2021-12-19,2022-02-20,63
Shanghai,Houston,2021-12-19,2022-02-11,54
Yantian,Houston,2021-12-19,2022-01-26,38
Shanghai,Long Beach,2021-12-20,2022-01-18,29
Shanghai,Long Beach,2021-12-20,2022-01-19,30
Ningbo,Los Angeles,2021-12-21,2022-01-22,32
Ningbo,Houston,2021-12-22,2022-02-02,42
Ningbo,Houston,2021-12-22,2022-01-30,39
Yantian,Los Angeles,2021-12-22,2022-02-08,48
Ningbo,Houston,2021-12-22,2022-02-02,42
Ningbo,Houston,2021-12-22,2022-01-22,31
Ningbo,Houston,2021-12-22,2022-02-03,43
Ningbo,Houston,2021-12-22,2022-01-21,30
Ningbo,Houston,2021-12-22,2022-01-30,39
Vung Tau,Los Angeles,2021-12-23,2022-02-08,47
Shanghai Hongqiao International,Oakland,2021-12-23,2022-02-19,58
Vung Tau,Los Angeles,2021-12-23,2022-02-08,47
Vung Tau,Long Beach,2021-12-23,2022-02-08,47
Vung Tau,Los Angeles,2021-12-23,2022-02-04,43
Shanghai Hongqiao International,Oakland,2021-12-23,2022-02-19,58
Vung Tau,Los Angeles,2021-12-23,2022-02-08,47
Shekou,Houston,2021-12-24,2022-02-05,43
Vung Tau,Los Angeles,2021-12-24,2022-02-08,46
Yantian,Los Angeles,2021-12-24,2022-02-01,39
Shanghai,Los Angeles,2021-12-24,2022-01-10,17
Vung Tau,Los Angeles,2021-12-24,2022-02-08,46
Shanghai,Long Beach,2021-12-25,2022-01-20,26
Shanghai,Long Beach,2021-12-25,2022-01-22,28
Ningbo,Long Beach,2021-12-25,2022-02-06,43
Yantian,Los Angeles,2021-12-25,2022-02-13,50
Shanghai,Long Beach,2021-12-25,2022-01-20,26
Yantian,Los Angeles,2021-12-28,2022-02-03,37
Xiamen,Los Angeles,2021-12-29,2022-02-12,45
Tianjin Xingang,Long Beach,2021-12-29,2022-02-25,58
Tianjin Xingang,Dallas,2021-12-29,2022-03-29,90
Tianjin Xingang,Dallas,2021-12-29,2022-03-29,90
Ningbo,Long Beach,2021-12-29,2022-02-07,40
Ningbo,Houston,2021-12-29,2022-02-07,40
Ningbo,Houston,2021-12-29,2022-02-08,41
Ningbo,Houston,2021-12-29,2022-02-07,40
Vung Tau,Long Beach,2021-12-30,2022-02-08,40
Vung Tau,Long Beach,2021-12-30,2022-02-08,40
Yantian,Houston,2021-12-30,2022-02-17,49
Shanghai,Houston,2021-12-30,2022-02-10,42
Vung Tau,Long Beach,2021-12-30,2022-02-08,40
Vung Tau,Long Beach,2021-12-30,2022-02-07,39
Vung Tau,Long Beach,2021-12-30,2022-02-08,40
Vung Tau,Long Beach,2021-12-31,2022-02-08,39
Shanghai,Long Beach,2022-01-01,2022-01-21,20
Shanghai,Long Beach,2022-01-01,2022-01-24,23
Ningbo,Long Beach,2022-01-01,2022-02-01,31
Shanghai,Long Beach,2022-01-01,2022-01-21,20
Cai Mep,Long Beach,2022-01-02,2022-02-17,46
Cai Mep,Los Angeles,2022-01-02,2022-02-02,31
Vung Tau,Los Angeles,2022-01-03,2022-02-22,50
Yantian,Los Angeles,2022-01-03,2022-02-11,39
Vung Tau,Los Angeles,2022-01-04,2022-03-04,59
Yantian,Los Angeles,2022-01-04,2022-03-04,59
Shanghai,Los Angeles,2022-01-04,2022-01-22,18
Yantian,Los Angeles,2022-01-04,2022-03-04,59
Yantian,Los Angeles,2022-01-04,2022-03-04,59
Yantian,Los Angeles,2022-01-04,2022-02-25,52
Vung Tau,Los Angeles,2022-01-05,2022-02-22,48
Cai Mep,Long Beach,2022-01-05,2022-01-30,25
Vung Tau,Los Angeles,2022-01-05,2022-02-22,48
Cai Mep,Long Beach,2022-01-05,2022-01-31,26
Ningbo,Los Angeles,2022-01-05,2022-02-09,35
Ningbo,Long Beach,2022-01-05,2022-02-12,38
Vung Tau,Los Angeles,2022-01-05,2022-02-22,48
Yantian,Los Angeles,2022-01-05,2022-02-25,51
Vung Tau,Los Angeles,2022-01-05,2022-02-22,48
Cai Mep,Long Beach,2022-01-05,2022-01-30,25
Yantian,Los Angeles,2022-01-06,2022-03-04,57
Vung Tau,Los Angeles,2022-01-06,2022-02-22,47
Vung Tau,Los Angeles,2022-01-06,2022-02-22,47
Ningbo,Long Beach,2022-01-06,2022-02-14,39
Yantian,Los Angeles,2022-01-06,2022-03-04,57
Vung Tau,Los Angeles,2022-01-06,2022-02-22,47
Ningbo,Long Beach,2022-01-07,2022-02-12,36
Yantian,Houston,2022-01-07,2022-02-19,43
Xiamen,Los Angeles,2022-01-08,2022-03-04,55
Xiamen,Los Angeles,2022-01-08,2022-03-04,55
Shanghai,Houston,2022-01-08,2022-02-22,45
Yantian,Houston,2022-01-09,2022-02-19,41
Yantian,Long Beach,2022-01-09,2022-02-11,33
Yantian,Houston,2022-01-10,2022-02-19,40
Ningbo,Long Beach,2022-01-10,2022-02-07,28
Yantian,Long Beach,2022-01-10,2022-02-12,33
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Yantian,Los Angeles,2022-01-11,2022-02-19,39
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Chattogram,Los Angeles,2022-01-11,2022-04-15,94
Xiamen,Long Beach,2022-01-12,2022-02-08,27
Yantian,Long Beach,2022-01-12,2022-01-29,17
Shanghai,Long Beach,2022-01-12,2022-01-28,16
Yantian,Long Beach,2022-01-12,2022-01-29,17
Xiamen,Long Beach,2022-01-12,2022-02-09,28
Yantian,Oakland,2022-01-12,2022-02-28,47
Yantian,Long Beach,2022-01-12,2022-02-18,37
Shanghai,Long Beach,2022-01-12,2022-01-27,15
Yantian,Long Beach,2022-01-12,2022-01-29,17
Tianjin Xingang,Houston,2022-01-12,2022-03-15,62
Yantian,Long Beach,2022-01-12,2022-01-29,17
Yantian,Oakland,2022-01-12,2022-02-28,47
Shanghai,Long Beach,2022-01-12,2022-01-27,15
Shanghai,Long Beach,2022-01-12,2022-01-27,15
Yantian,Long Beach,2022-01-13,2022-01-31,18
Tianjin Xingang,Long Beach,2022-01-13,2022-03-02,48
Tianjin Xingang,Long Beach,2022-01-13,2022-02-16,34
Tianjin Xingang,Long Beach,2022-01-13,2022-03-02,48
Yantian,Long Beach,2022-01-13,2022-01-31,18
Yantian,Long Beach,2022-01-13,2022-01-30,17
Yantian,Long Beach,2022-01-13,2022-01-31,18
Tianjin Xingang,Long Beach,2022-01-13,2022-03-12,58
Yantian,Oakland,2022-01-13,2022-02-28,46
Yantian,Oakland,2022-01-14,2022-02-24,41
Yantian,Oakland,2022-01-14,2022-02-24,41
Yantian,Long Beach,2022-01-14,2022-02-25,42
Yantian,Dallas,2022-01-14,2022-02-17,34
Yantian,Long Beach,2022-01-14,2022-02-10,27
Yantian,Dallas,2022-01-14,2022-02-17,34
Yantian,Oakland,2022-01-14,2022-02-24,41
Vung Tau,Los Angeles,2022-01-15,2022-03-04,48
Yantian,Long Beach,2022-01-15,2022-02-25,41
Yantian,Long Beach,2022-01-15,2022-02-25,41
Yantian,Long Beach,2022-01-15,2022-02-25,41
Yantian,Los Angeles,2022-01-16,2022-03-12,55
Yantian,Los Angeles,2022-01-16,2022-03-04,47
Yantian,Los Angeles,2022-01-16,2022-03-12,55
Vung Tau,Los Angeles,2022-01-16,2022-03-04,47
Vung Tau,Los Angeles,2022-01-16,2022-03-04,47
Vung Tau,Los Angeles,2022-01-17,2022-03-04,46
Yantian,Los Angeles,2022-01-17,2022-03-16,58
Yantian,Long Beach,2022-01-17,2022-02-11,25
Yantian,Los Angeles,2022-01-17,2022-03-16,58
Vung Tau,Los Angeles,2022-01-17,2022-03-04,46
Yantian,Long Beach,2022-01-17,2022-02-12,26
Vung Tau,Los Angeles,2022-01-17,2022-03-04,46
Yantian,Los Angeles,2022-01-17,2022-03-04,46
Yantian,Los Angeles,2022-01-17,2022-03-16,58
Shanghai,Long Beach,2022-01-18,2022-02-06,19
Shanghai,Long Beach,2022-01-18,2022-02-04,17
Shanghai,Long Beach,2022-01-18,2022-02-06,19
Shanghai,Long Beach,2022-01-18,2022-02-04,17
Shanghai,Long Beach,2022-01-18,2022-02-06,19
Yantian,Los Angeles,2022-01-19,2022-03-12,52
Zhapu,Los Angeles,2022-01-19,2022-02-20,32
Yantian,Los Angeles,2022-01-19,2022-03-12,52
Shanghai,Long Beach,2022-01-20,2022-02-17,28
Vung Tau,Long Beach,2022-01-20,2022-04-11,81
Vung Tau,Long Beach,2022-01-20,2022-04-11,81
Vung Tau,Long Beach,2022-01-20,2022-04-11,81
Shanghai,Long Beach,2022-01-20,2022-02-16,27
Yantian,Los Angeles,2022-01-20,2022-03-12,51
Yantian,Houston,2022-01-21,2022-02-17,27
Tianjin Xingang,Houston,2022-01-21,2022-02-28,38
Shanghai,Long Beach,2022-01-21,2022-02-16,26
Yantian,Los Angeles,2022-01-22,2022-03-12,49
Yantian,Los Angeles,2022-01-23,2022-03-12,48
Yantian,Los Angeles,2022-01-23,2022-03-12,48
Yantian,Los Angeles,2022-01-23,2022-03-12,48
Yantian,Los Angeles,2022-01-23,2022-03-12,48
Tianjin Xingang,Long Beach,2022-01-24,2022-02-16,23
Tianjin Xingang,Long Beach,2022-01-24,2022-02-14,21
Tianjin Xingang,Long Beach,2022-01-24,2022-02-16,23
Ningbo,Long Beach,2022-01-25,2022-03-09,43
Chattogram,Long Beach,2022-01-25,2022-03-13,47
Cai Mep,Long Beach,2022-01-25,2022-02-16,22
Cai Mep,Long Beach,2022-01-25,2022-02-16,22
Chattogram,Long Beach,2022-01-25,2022-03-12,46
Cai Mep,Long Beach,2022-01-25,2022-02-16,22
Shanghai Hongqiao International,Houston,2022-01-26,2022-03-07,40
Ningbo,Los Angeles,2022-01-26,2022-03-05,38
Shanghai Hongqiao International,Houston,2022-01-26,2022-03-07,40
Vung Tau,Los Angeles,2022-01-28,2022-03-12,43
Vung Tau,Los Angeles,2022-01-28,2022-03-12,43
Vung Tau,Los Angeles,2022-01-28,2022-03-12,43
Ningbo,Houston,2022-01-28,2022-02-28,31
Tianjin Xingang,Houston,2022-01-28,2022-03-15,46
Shanghai Hongqiao International,Houston,2022-01-28,2022-02-27,30
Tianjin Xingang,Houston,2022-01-28,2022-03-15,46
Vung Tau,Los Angeles,2022-01-28,2022-03-12,43
Shanghai Hongqiao International,Oakland,2022-01-29,2022-03-15,45
Vung Tau,Los Angeles,2022-01-29,2022-03-12,42
Shanghai Hongqiao International,Oakland,2022-01-29,2022-03-15,45
Vung Tau,Los Angeles,2022-01-29,2022-03-12,42
Cai Mep,Long Beach,2022-01-30,2022-02-21,22
Ningbo,Los Angeles,2022-01-30,2022-02-20,21
Ningbo,Los Angeles,2022-01-30,2022-02-20,21
Cai Mep,Long Beach,2022-01-30,2022-02-20,21
Cai Mep,Long Beach,2022-01-30,2022-02-21,22
Cai Mep,Long Beach,2022-02-01,2022-03-11,38
Cai Mep,Long Beach,2022-02-01,2022-03-03,30
Cai Mep,Long Beach,2022-02-01,2022-03-05,32
Cai Mep,Long Beach,2022-02-01,2022-03-05,32
Cai Mep,Long Beach,2022-02-01,2022-03-05,32
Cai Mep,Long Beach,2022-02-01,2022-03-05,32
Cai Mep,Long Beach,2022-02-01,2022-03-01,28
Yantian,Long Beach,2022-02-02,2022-02-16,14
Yantian,Long Beach,2022-02-02,2022-02-16,14
Yantian,Houston,2022-02-04,2022-03-07,31
Vung Tau,Los Angeles,2022-02-05,2022-03-16,39
Yantian,Long Beach,2022-02-06,2022-02-25,19
Yantian,Long Beach,2022-02-06,2022-02-25,19
Cai Mep,Long Beach,2022-02-07,2022-02-28,21
Cai Mep,Long Beach,2022-02-07,2022-02-28,21
Cai Mep,Long Beach,2022-02-07,2022-02-26,19
Mundra,Houston,2022-02-07,2022-03-28,49
Shanghai,Long Beach,2022-02-08,2022-02-24,16
Shanghai,Long Beach,2022-02-08,2022-02-24,16
Qingdao,Los Angeles,2022-02-08,2022-03-12,32
Shanghai,Long Beach,2022-02-08,2022-02-24,16
Cai Mep,Long Beach,2022-02-09,2022-03-01,20
Cai Mep,Long Beach,2022-02-10,2022-03-01,19
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Ningbo,Long Beach,2022-02-10,2022-03-04,22
Ningbo,Long Beach,2022-02-10,2022-02-27,17
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Laem Chabang,Koper,2022-02-10,2022-03-20,38
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Cai Mep,Long Beach,2022-02-10,2022-03-06,24
Ningbo,Long Beach,2022-02-10,2022-03-03,21
Shanghai,Long Beach,2022-02-12,2022-02-25,13
Vung Tau,Los Angeles,2022-02-15,2022-03-27,40
Yantian,Long Beach,2022-02-15,2022-02-28,13
Yantian,Long Beach,2022-02-15,2022-03-01,14
Yantian,Long Beach,2022-02-15,2022-03-01,14
Xiamen,Los Angeles,2022-02-15,2022-03-21,34
Vung Tau,Los Angeles,2022-02-16,2022-03-27,39
Vung Tau,Los Angeles,2022-02-17,2022-03-27,38
Shanghai,Long Beach,2022-02-18,2022-03-08,18
Shanghai,Long Beach,2022-02-20,2022-03-03,11
Shanghai,Long Beach,2022-02-20,2022-03-16,24
Shanghai,Long Beach,2022-02-20,2022-03-23,31
Shanghai,Long Beach,2022-02-20,2022-03-23,31
Shanghai,Long Beach,2022-02-20,2022-03-03,11
Shanghai,Long Beach,2022-02-22,2022-03-16,22
Shanghai,Long Beach,2022-02-22,2022-03-16,22
Shanghai,Long Beach,2022-02-22,2022-03-16,22
Yantian,Long Beach,2022-02-23,2022-03-08,13
Yantian,Long Beach,2022-02-23,2022-03-08,13
Vung Tau,Los Angeles,2022-02-28,2022-03-23,23
